"graph","embedder","pk_ratio","name"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","node2vec",0.273333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","node2vec",0.224444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","node2vec",0.304444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","node2vec",0.224444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","node2vec",0.26,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","node2vec",0.24,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","node2vec",0.22,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","node2vec",0.228888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","node2vec",0.375555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","node2vec",0.28,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","node2vec",0.202222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","node2vec",0.233333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","node2vec",0.288888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","node2vec",0.286666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","node2vec",0.284444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","node2vec",0.273333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","node2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","node2vec",0.257777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","node2vec",0.244444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","node2vec",0.206666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","node2vec",0.237777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","node2vec",0.246666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","node2vec",0.268888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","node2vec",0.202222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","node2vec",0.297777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","node2vec",0.24,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","node2vec",0.246666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","node2vec",0.228888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","node2vec",0.215555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","node2vec",0.268888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","node2vec",0.348888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","node2vec",0.22,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","node2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","node2vec",0.313333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","node2vec",0.22,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","node2vec",0.291111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","node2vec",0.275555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","node2vec",0.268888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","node2vec",0.26,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","node2vec",0.271111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","node2vec",0.24,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","node2vec",0.248888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","node2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","node2vec",0.297777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","struc2vec",0.222222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","struc2vec",0.244444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","struc2vec",0.186666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","struc2vec",0.224444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","struc2vec",0.233333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","struc2vec",0.204444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","struc2vec",0.237777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","struc2vec",0.251111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","struc2vec",0.26,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","struc2vec",0.233333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","struc2vec",0.231111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","struc2vec",0.251111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","struc2vec",0.237777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","struc2vec",0.257777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","struc2vec",0.262222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","struc2vec",0.224444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","struc2vec",0.197777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","struc2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","struc2vec",0.222222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","struc2vec",0.233333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","struc2vec",0.18,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","struc2vec",0.253333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","struc2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","struc2vec",0.177777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","struc2vec",0.222222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","struc2vec",0.208888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","struc2vec",0.22,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","struc2vec",0.197777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","struc2vec",0.206666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","struc2vec",0.248888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","struc2vec",0.211111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","struc2vec",0.213333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","struc2vec",0.231111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","struc2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","struc2vec",0.215555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","struc2vec",0.255555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","struc2vec",0.244444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","struc2vec",0.24,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","struc2vec",0.204444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","struc2vec",0.215555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","struc2vec",0.182222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","struc2vec",0.204444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","struc2vec",0.191111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","struc2vec",0.222222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","struc2vec",0.224444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","struc2vec",0.226666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","struc2vec",0.204444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","struc2vec",0.248888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","struc2vec",0.244444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","struc2vec",0.186666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","verse",1,"100-0"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_7","spring",0.640831168831169,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_18","spring",0.620538461538461,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_25","spring",0.632696636696637,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_24","spring",0.658454878454878,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_13","spring",0.626380952380952,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_22","spring",0.597399267399267,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_46","spring",0.650930402930403,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_49","spring",0.632155511155511,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_0","spring",0.657717948717949,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_5","spring",0.65601665001665,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_8","spring",0.624710622710623,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_12","spring",0.652864468864469,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_2","spring",0.620765900765901,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_23","spring",0.64639294039294,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_31","spring",0.65026307026307,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_16","spring",0.63172360972361,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_44","spring",0.645289377289377,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_43","spring",0.660260073260073,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_29","spring",0.601857142857143,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_38","spring",0.621210456210456,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_14","spring",0.651970695970696,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_35","spring",0.671263736263736,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_26","spring",0.641444222444223,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_39","spring",0.638579753579754,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_32","spring",0.646761571761572,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_37","spring",0.658571428571429,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_19","spring",0.618109557109557,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_20","spring",0.591588744588745,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_28","spring",0.632197802197802,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_47","spring",0.629820512820513,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_42","spring",0.613039627039627,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_34","spring",0.648065934065934,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_27","spring",0.626062271062271,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_36","spring",0.628850482850483,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_48","spring",0.663300366300366,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_45","spring",0.621860805860806,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_4","spring",0.625792207792208,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_17","spring",0.684044955044955,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_41","spring",0.626893772893773,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_10","spring",0.654058608058608,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_1","spring",0.636626373626374,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_21","spring",0.639765567765568,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_30","spring",0.626747252747253,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_40","spring",0.645340659340659,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_6","spring",0.669531135531136,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_11","spring",0.644083916083916,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_15","spring",0.616285714285714,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_9","spring",0.629659340659341,"90-10"
