edgelist,group,embedder,similarity_metric,type,value
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_7,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_7,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3237950801849365
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_7,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_18,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_18,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.5087792873382568
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_18,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_25,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_25,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4768896102905273
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_25,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_24,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_24,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4737420082092285
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_24,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_13,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_13,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3523857593536377
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_13,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_22,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_22,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4825928211212158
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_22,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_46,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_46,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4821095466613769
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_46,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_49,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_49,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4782586097717285
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_49,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_0,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_0,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3426227569580078
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_0,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_5,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_5,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4150772094726562
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_5,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_8,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_8,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4273178577423095
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_8,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_12,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_12,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4202587604522705
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_12,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_23,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_23,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3666644096374511
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_23,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_2,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_2,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3969283103942871
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_2,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_31,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_31,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3993082046508789
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_31,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_16,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_16,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4304993152618408
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_16,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_44,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_44,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3713600635528564
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_44,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_43,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_43,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.5282363891601562
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_43,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_29,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_29,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.5513968467712402
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_29,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_38,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_38,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.5433883666992188
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_38,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_14,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_14,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.407400369644165
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_14,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_26,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_26,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4229664802551269
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_26,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_35,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_35,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4452533721923828
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_35,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_39,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_39,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4566411972045898
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_39,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_32,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_32,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3233785629272461
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_32,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_19,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_19,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4743847846984863
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_19,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5576036866359447
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_37,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4914920634920635
input_data/irreg_block_graphs_1.0g_0.0ng/graph_sample_37,irreg_block_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4812657833099365
